"timestamp (abs)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,10000,0,0,0,1,1,1,1,1
1,10000,1,1,0,1,1,1,1,1
4,10000,1,1,1,1,1,1,1,1
101,10000,1,1,0,1,1,1,1,1
103,10000,1,0,0,1,1,1,1,1
107,10000,1,0,0,0,1,1,1,1
108,10000,0,0,0,0,1,1,1,1
168,10000,0,0,0,1,1,1,1,1
169,10000,1,1,0,1,1,1,1,1
171,10000,1,1,1,1,1,1,1,1
234,10000,1,1,1,1,1,0,0,1
236,10000,1,1,1,1,1,0,0,0
256,10000,1,1,0,1,1,0,0,0
257,10000,1,1,0,0,1,0,0,0
261,10000,1,0,0,0,1,0,0,0
267,10000,0,0,0,0,1,0,0,0
340,10000,1,0,0,0,1,0,0,0
341,10000,1,1,0,0,1,0,0,0
346,10000,1,1,1,0,1,0,0,0
347,10000,1,1,1,1,1,0,0,0
424,10000,1,1,0,1,1,0,0,0
425,10000,1,1,0,0,1,0,0,0
428,10000,1,0,0,0,1,0,0,0
436,10000,0,0,0,0,1,0,0,0
504,10000,1,1,0,0,1,1,0,0
505,10000,1,1,0,1,1,1,0,0
506,10000,1,1,1,1,1,1,1,1
601,10000,1,1,0,1,1,1,1,1
603,10000,1,0,0,1,1,1,1,1
607,10000,1,0,0,0,1,1,1,1
609,10000,0,0,0,0,1,1,1,1
667,10000,0,0,0,1,1,1,1,1
668,10000,1,1,0,1,1,1,1,1
671,10000,1,1,1,1,1,1,1,1
767,10000,1,1,0,1,1,1,1,1
768,10000,1,0,0,1,1,1,1,1
773,10000,1,0,0,0,1,1,1,1
774,10000,0,0,0,0,1,1,1,1
834,10000,0,0,0,1,1,1,1,1
836,10000,1,1,0,1,1,1,1,1
838,10000,1,1,1,1,1,1,1,1
932,10000,1,1,0,1,1,1,1,1
933,10000,1,0,0,1,1,1,1,1
939,10000,0,0,0,0,1,1,1,1
954,10000,0,0,0,0,1,0,0,0
1006,10000,1,0,0,0,1,0,0,0
1008,10000,1,1,0,0,1,0,0,0
1013,10000,1,1,1,0,1,0,0,0
1014,10000,1,1,1,1,1,0,0,0
1090,10000,1,1,0,1,1,0,0,0
1092,10000,1,1,0,0,1,0,0,0
1095,10000,1,0,0,0,1,0,0,0
1102,10000,0,0,0,0,1,0,0,0
1173,10000,1,0,0,0,1,0,0,0
1174,10000,1,1,0,0,1,0,0,0
1180,10000,1,1,1,1,1,0,0,0
1234,10000,1,1,1,1,1,1,0,0
1237,10000,1,1,1,1,1,1,1,1
1268,10000,1,1,0,1,1,1,1,1
1270,10000,1,0,0,1,1,1,1,1
1275,10000,0,0,0,0,1,1,1,1
1333,10000,0,0,0,1,1,1,1,1
1334,10000,1,1,0,1,1,1,1,1
1337,10000,1,1,1,1,1,1,1,1
1433,10000,1,1,0,1,1,1,1,1
1436,10000,1,0,0,1,1,1,1,1
1440,10000,0,0,0,0,1,1,1,1
1501,10000,0,0,0,1,1,1,1,1
1502,10000,1,1,0,1,1,1,1,1
1504,10000,1,1,1,1,1,1,1,1
1599,10000,1,1,0,1,1,1,1,1
1601,10000,1,0,0,1,1,1,1,1
1606,10000,0,0,0,0,1,1,1,1
1668,10000,0,0,0,1,1,1,1,1
1669,10000,1,1,0,1,1,1,1,1
1672,10000,1,1,1,1,1,1,1,1
1674,10000,1,0,0,0,1,0,0,0
1675,10000,1,1,0,0,1,0,0,0
1680,10000,1,1,1,0,1,0,0,0
1681,10000,1,1,1,1,1,0,0,0
1755,10000,1,1,0,1,1,0,0,0
1757,10000,1,1,0,0,1,0,0,0
1759,10000,1,0,0,0,1,0,0,0
1766,10000,0,0,0,0,1,0,0,0
1839,10000,1,0,0,0,1,0,0,0
1840,10000,1,1,0,0,1,0,0,0
1846,10000,1,1,1,1,1,0,0,0
1923,10000,1,1,0,1,1,0,0,0
1925,10000,1,1,0,0,1,0,0,0
1928,10000,1,0,0,0,1,0,0,0
1935,10000,0,0,0,0,1,0,0,0
2006,10000,1,0,0,0,1,0,0,0
2007,10000,1,1,0,0,1,0,0,0
2012,10000,1,1,1,0,1,0,0,0
2013,10000,1,1,1,1,1,0,0,0
2084,10000,1,1,1,1,1,1,1,1
2100,10000,1,1,0,1,1,1,1,1
2103,10000,1,0,0,1,1,1,1,1
2108,10000,1,0,0,0,1,1,1,1
2109,10000,0,0,0,0,1,1,1,1
2167,10000,1,1,0,1,1,1,1,1
2170,10000,1,1,1,1,1,1,1,1
2214,10000,1,1,1,1,1,0,0,1
2217,10000,1,1,1,1,1,0,0,0
2256,10000,1,1,0,1,1,0,0,0
2258,10000,1,1,0,0,1,0,0,0
2261,10000,1,0,0,0,1,0,0,0
2268,10000,0,0,0,0,1,0,0,0
2314,10000,0,0,0,0,1,1,0,0
2317,10000,0,0,0,0,1,1,1,1
2333,10000,0,0,0,1,1,1,1,1
2334,10000,1,1,0,1,1,1,1,1
2336,10000,1,1,1,1,1,1,1,1
2434,10000,1,1,0,1,1,1,1,1
2436,10000,1,0,0,1,1,1,1,1
2440,10000,1,0,0,0,1,1,1,1
2441,10000,0,0,0,0,1,1,1,1
2500,10000,0,0,0,1,1,1,1,1
2501,10000,1,1,0,1,1,1,1,1
2504,10000,1,1,1,1,1,1,1,1
2600,10000,1,1,0,1,1,1,1,1
2601,10000,1,0,0,1,1,1,1,1
2606,10000,0,0,0,0,1,1,1,1
2664,10000,0,0,0,0,1,0,0,0
2674,10000,1,0,0,0,1,0,0,0
2675,10000,1,1,0,0,1,0,0,0
2680,10000,1,1,1,0,1,0,0,0
2681,10000,1,1,1,1,1,0,0,0
2755,10000,1,1,0,1,1,0,0,0
2757,10000,1,1,0,0,1,0,0,0
2760,10000,1,0,0,0,1,0,0,0
2766,10000,0,0,0,0,1,0,0,0
2839,10000,1,0,0,0,1,0,0,0
2840,10000,1,1,0,0,1,0,0,0
2846,10000,1,1,1,1,1,0,0,0
2894,10000,1,1,1,1,1,1,1,1
2934,10000,1,1,0,1,1,1,1,1
2935,10000,1,0,0,1,1,1,1,1
2940,10000,1,0,0,0,1,1,1,1
2941,10000,0,0,0,0,1,1,1,1
3000,10000,0,0,0,1,1,1,1,1
3001,10000,1,1,0,1,1,1,1,1
3003,10000,1,1,1,1,1,1,1,1
3094,10000,1,0,0,0,1,0,0,0
3100,10000,0,0,0,0,1,0,0,0
3172,10000,1,0,0,0,1,0,0,0
3174,10000,1,1,0,0,1,0,0,0
3179,10000,1,1,1,1,1,0,0,0
3256,10000,1,1,0,1,1,0,0,0
3258,10000,1,1,0,0,1,0,0,0
3261,10000,1,0,0,0,1,0,0,0
3269,10000,0,0,0,0,1,0,0,0
3339,10000,1,0,0,0,1,0,0,0
3340,10000,1,1,0,0,1,0,0,0
3345,10000,1,1,1,0,1,0,0,0
3346,10000,1,1,1,1,1,0,0,0
3423,10000,1,1,0,1,1,0,0,0
3425,10000,1,1,0,0,1,0,0,0
3428,10000,1,0,0,0,1,0,0,0
3436,10000,0,0,0,0,1,0,0,0
3505,10000,1,0,0,0,1,0,0,0
3507,10000,1,1,0,0,1,0,0,0
3512,10000,1,1,1,1,1,0,0,0
3524,10000,1,1,1,1,1,1,0,0
3527,10000,1,1,1,1,1,1,1,1
3601,10000,1,1,0,1,1,1,1,1
3603,10000,1,0,0,1,1,1,1,1
3607,10000,1,0,0,0,1,1,1,1
3608,10000,0,0,0,0,1,1,1,1
3614,10000,0,0,0,0,1,0,0,1
3617,10000,0,0,0,0,1,0,0,0
3672,10000,1,0,0,0,1,0,0,0
3674,10000,1,1,0,0,1,0,0,0
3679,10000,1,1,1,1,1,0,0,0
3734,10000,1,1,1,1,1,1,0,0
3737,10000,1,1,1,1,1,1,1,1
3767,10000,1,1,0,1,1,1,1,1
3769,10000,1,0,0,1,1,1,1,1
3774,10000,1,0,0,0,1,1,1,1
3775,10000,0,0,0,0,1,1,1,1
3833,10000,0,0,0,1,1,1,1,1
3834,10000,1,1,0,1,1,1,1,1
3836,10000,1,1,1,1,1,1,1,1
3933,10000,1,1,0,1,1,1,1,1
3935,10000,1,0,0,1,1,1,1,1
3939,10000,1,0,0,0,1,1,1,1
3940,10000,0,0,0,0,1,1,1,1
4000,10000,0,0,0,1,1,1,1,1
4002,10000,1,1,0,1,1,1,1,1
4004,10000,1,1,1,1,1,1,1,1
4099,10000,1,1,0,1,1,1,1,1
4100,10000,1,0,0,1,1,1,1,1
4105,10000,0,0,0,0,1,1,1,1
4167,10000,0,0,0,1,1,1,1,1
4169,10000,1,1,0,1,1,1,1,1
4171,10000,1,1,1,1,1,1,1,1
4184,10000,1,1,1,1,1,0,0,0
4254,10000,1,1,0,1,1,0,0,0
4256,10000,1,1,0,0,1,0,0,0
4259,10000,1,0,0,0,1,0,0,0
4265,10000,0,0,0,0,1,0,0,0
4334,10000,0,0,0,0,1,1,0,0
4335,10000,1,0,0,0,1,1,0,0
4336,10000,1,1,0,0,1,1,0,0
4337,10000,1,1,1,1,1,1,1,1
4433,10000,1,1,0,1,1,1,1,1
4435,10000,1,0,0,1,1,1,1,1
4440,10000,0,0,0,0,1,1,1,1
4500,10000,0,0,0,1,1,1,1,1
4501,10000,1,1,0,1,1,1,1,1
4503,10000,1,1,1,1,1,1,1,1
4599,10000,1,1,0,1,1,1,1,1
4600,10000,1,0,0,1,1,1,1,1
4605,10000,1,0,0,0,1,1,1,1
4606,10000,0,0,0,0,1,1,1,1
4667,10000,0,0,0,1,1,1,1,1
4669,10000,1,1,0,1,1,1,1,1
4671,10000,1,1,1,1,1,1,1,1
4734,10000,1,1,1,1,1,0,0,1
4737,10000,1,1,1,1,1,0,0,0
4755,10000,1,1,0,1,1,0,0,0
4756,10000,1,1,0,0,1,0,0,0
4759,10000,1,0,0,0,1,0,0,0
4765,10000,0,0,0,0,1,0,0,0
4839,10000,1,0,0,0,1,0,0,0
4840,10000,1,1,0,0,1,0,0,0
4845,10000,1,1,1,0,1,0,0,0
4846,10000,1,1,1,1,1,0,0,0
4923,10000,1,1,0,1,1,0,0,0
4924,10000,1,1,0,0,1,0,0,0
4928,10000,1,0,0,0,1,0,0,0
4935,10000,0,0,0,0,1,0,0,0
5005,10000,1,0,0,0,1,0,0,0
5007,10000,1,1,0,0,1,0,0,0
5012,10000,1,1,1,1,1,0,0,0
5089,10000,1,1,0,1,1,0,0,0
5091,10000,1,1,0,0,1,0,0,0
5095,10000,1,0,0,0,1,0,0,0
5102,10000,0,0,0,0,1,0,0,0
5172,10000,1,0,0,0,1,0,0,0
5173,10000,1,1,0,0,1,0,0,0
5178,10000,1,1,1,1,1,0,0,0
5184,10000,1,1,1,1,1,1,1,1
5268,10000,1,1,0,1,1,1,1,1
5269,10000,1,0,0,1,1,1,1,1
5274,10000,0,0,0,0,1,1,1,1
5333,10000,0,0,0,1,1,1,1,1
5334,10000,1,1,0,1,1,1,1,1
5336,10000,1,1,1,1,1,1,1,1
5433,10000,1,1,0,1,1,1,1,1
5434,10000,1,0,0,1,1,1,1,1
5439,10000,0,0,0,0,1,1,1,1
5500,10000,0,0,0,1,1,1,1,1
5501,10000,0,1,0,1,1,1,1,1
5502,10000,1,1,0,1,1,1,1,1
5503,10000,1,1,1,1,1,1,1,1
5599,10000,1,0,0,1,1,1,1,1
5604,10000,0,0,0,1,1,1,1,1
5605,10000,0,0,0,0,1,1,1,1
5667,10000,0,0,0,1,1,1,1,1
5669,10000,1,1,0,1,1,1,1,1
5671,10000,1,1,1,1,1,1,1,1
5684,10000,1,1,1,1,1,0,0,0
5754,10000,1,1,0,1,1,0,0,0
5756,10000,1,1,0,0,1,0,0,0
5759,10000,1,0,0,0,1,0,0,0
5765,10000,0,0,0,0,1,0,0,0
5838,10000,1,0,0,0,1,0,0,0
