"timestamp (abs)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,20000,1,1,1,1,1,0,0,0
26,20000,1,1,0,0,1,0,0,0
40,20000,1,0,0,0,1,0,0,0
41,20000,0,0,0,0,1,0,0,0
205,20000,1,0,0,0,1,0,0,0
209,20000,1,1,0,0,1,0,0,0
225,20000,1,1,1,0,1,0,0,0
227,20000,1,1,1,1,1,0,0,0
360,20000,1,1,0,1,1,0,0,0
361,20000,1,1,0,0,1,0,0,0
375,20000,1,0,0,0,1,0,0,0
376,20000,0,0,0,0,1,0,0,0
533,20000,1,1,0,1,1,1,1,1
537,20000,1,1,1,1,1,1,1,1
717,20000,1,1,0,1,1,1,1,1
722,20000,0,1,0,1,1,1,1,1
723,20000,0,0,0,1,1,1,1,1
737,20000,0,0,0,0,1,1,1,1
856,20000,0,0,0,1,1,1,1,1
863,20000,1,0,0,1,1,1,1,1
865,20000,1,1,0,1,1,1,1,1
869,20000,1,1,1,1,1,1,1,1
1048,20000,1,1,0,1,1,1,1,1
1054,20000,0,1,0,1,1,1,1,1
1056,20000,0,0,0,1,1,1,1,1
1067,20000,0,0,0,0,1,1,1,1
1133,20000,0,0,0,0,1,0,0,0
1206,20000,1,0,0,0,1,0,0,0
1210,20000,1,1,0,0,1,0,0,0
1225,20000,1,1,1,0,1,0,0,0
1228,20000,1,1,1,1,1,0,0,0
1358,20000,1,1,0,1,1,0,0,0
1359,20000,1,1,0,0,1,0,0,0
1373,20000,1,0,0,0,1,0,0,0
1374,20000,0,0,0,0,1,0,0,0
1538,20000,1,0,0,0,1,0,0,0
1542,20000,1,1,0,0,1,0,0,0
1557,20000,1,1,1,0,1,0,0,0
1558,20000,1,1,1,1,1,0,0,0
1692,20000,1,1,0,1,1,0,0,0
1694,20000,1,1,0,0,1,0,0,0
1707,20000,1,0,0,0,1,0,0,0
1709,20000,0,0,0,0,1,0,0,0
1871,20000,1,0,0,0,1,0,0,0
1873,20000,1,1,1,1,1,1,0,0
1900,20000,1,1,1,1,1,1,1,1
2033,20000,1,1,0,1,1,0,0,1
2034,20000,1,1,0,0,1,0,0,1
2044,20000,0,0,0,0,1,0,0,1
2080,20000,0,0,0,0,1,0,0,0
2205,20000,1,0,0,0,1,0,0,0
2208,20000,1,1,0,0,1,0,0,0
2223,20000,1,1,1,0,1,0,0,0
2225,20000,1,1,1,1,1,0,0,0
2293,20000,1,1,1,1,1,1,1,1
2382,20000,1,1,0,1,1,1,1,1
2388,20000,0,0,0,1,1,1,1,1
2403,20000,0,0,0,0,1,1,1,1
2413,20000,0,0,0,0,1,0,0,1
2460,20000,0,0,0,0,1,0,0,0
2537,20000,1,0,0,0,1,0,0,0
2542,20000,1,1,0,0,1,0,0,0
2557,20000,1,1,1,0,1,0,0,0
2558,20000,1,1,1,1,1,0,0,0
2691,20000,1,1,0,1,1,0,0,0
